index,ppg_in,ppg_filt,valid_pre,peak_pulse,time_counter,interval_valid,bpm_value,bpm_valid
167,108,-93,1,0,0,0,93,0
168,68,-93,0,0,0,0,93,0
169,101,-72,1,0,0,0,93,0
170,122,-72,0,0,0,0,93,0
171,161,-47,1,0,0,0,93,0
172,185,-47,0,0,0,0,93,0
173,215,-17,1,0,0,0,93,0
174,313,-17,0,0,0,0,93,0
175,287,12,1,0,0,0,93,0
176,353,12,0,0,0,0,93,0
177,424,19,1,0,0,0,93,0
178,385,19,0,0,0,0,93,0
179,371,48,1,0,0,0,93,0
180,317,48,0,0,0,0,93,0
181,241,58,1,0,0,0,93,0
182,200,58,0,0,0,0,93,0
183,112,35,1,0,0,0,93,0
184,104,35,0,1,0,0,93,0
185,96,-11,1,0,0,0,93,0
186,120,-11,0,0,1,0,93,0
187,47,-40,1,0,1,0,93,0
188,95,-40,0,0,2,0,93,0
189,48,-83,1,0,2,0,93,0
190,44,-83,0,0,3,0,93,0
191,29,-123,1,0,3,0,93,0
192,-23,-123,0,0,4,0,93,0
193,-72,-148,1,0,4,0,93,0
194,-101,-148,0,0,5,0,93,0
195,-195,-177,1,0,5,0,93,0
196,-198,-177,0,0,6,0,93,0
197,-212,-224,1,0,6,0,93,0
198,-232,-224,0,0,7,0,93,0
199,-245,-251,1,0,7,0,93,0
200,-221,-251,0,0,8,0,93,0
201,-129,-266,1,0,8,0,93,0
202,-102,-266,0,0,9,0,93,0
203,-3,-235,1,0,9,0,93,0
204,-15,-235,0,0,10,0,93,0
205,36,-176,1,0,10,0,93,0
206,45,-176,0,0,11,0,93,0
207,90,-119,1,0,11,0,93,0
208,53,-119,0,0,12,0,93,0
209,33,-67,1,0,12,0,93,0
210,71,-67,0,0,13,0,93,0
211,80,-43,1,0,13,0,93,0
212,86,-43,0,0,14,0,93,0
213,141,-25,1,0,14,0,93,0
214,201,-25,0,0,15,0,93,0
215,207,6,1,0,15,0,93,0
216,298,6,0,0,16,0,93,0
217,283,26,1,0,16,0,93,0
218,386,26,0,0,17,0,93,0
219,340,31,1,0,17,0,93,0
220,323,31,0,0,18,0,93,0
221,250,17,1,0,18,0,93,0
222,218,17,0,1,19,0,93,0
223,176,-18,1,0,19,0,93,0
224,165,-18,0,0,19,1,93,0
225,66,-53,1,0,19,1,78,1
226,53,-108,1,0,0,0,78,1
227,52,-142,1,0,0,0,78,0
228,9,-142,0,0,0,0,78,0
229,36,-159,1,0,0,0,78,0
230,4,-159,0,0,0,0,78,0
231,22,-156,1,0,0,0,78,0
232,-22,-156,0,0,0,0,78,0
233,-28,-144,1,0,0,0,78,0
234,-102,-144,0,0,0,0,78,0
235,-152,-136,1,0,0,0,78,0
236,-173,-136,0,0,0,0,78,0
237,-164,-146,1,0,0,0,78,0
238,-269,-146,0,0,0,0,78,0
239,-286,-145,1,0,0,0,78,0
240,-311,-145,0,0,0,0,78,0
241,-250,-147,1,0,0,0,78,0
242,-252,-147,0,0,0,0,78,0
243,-176,-123,1,0,0,0,78,0
244,-132,-123,0,0,0,0,78,0
245,-104,-79,1,0,0,0,78,0
246,-21,-79,0,0,0,0,78,0
247,-28,-41,1,0,0,0,78,0
248,21,-41,0,0,0,0,78,0
249,33,-21,1,0,0,0,78,0
250,9,-21,0,0,0,0,78,0
251,-29,-4,1,0,0,0,78,0
252,5,-4,0,0,0,0,78,0
253,53,-8,1,0,0,0,78,0
254,12,-8,0,0,0,0,78,0
255,108,7,1,0,0,0,78,0
256,122,7,0,0,0,0,78,0
257,181,50,1,0,0,0,78,0
258,236,50,0,0,0,0,78,0
259,254,95,1,0,0,0,78,0
260,331,95,0,0,0,0,78,0
261,260,125,1,0,0,0,78,0
262,273,125,0,0,0,0,78,0
263,220,114,1,0,0,0,78,0
264,227,114,0,1,0,0,78,0
265,124,86,1,0,0,0,78,0
266,71,86,0,0,1,0,78,0
267,20,31,1,0,1,0,78,0
268,16,31,0,0,2,0,78,0
269,-4,-21,1,0,2,0,78,0
270,12,-21,0,0,3,0,78,0
271,-26,-58,1,0,3,0,78,0
272,-15,-58,0,0,4,0,78,0
273,-36,-92,1,0,4,0,78,0
274,-45,-92,0,0,5,0,78,0
275,-109,-117,1,0,5,0,78,0
276,-136,-117,0,0,6,0,78,0
277,-207,-152,1,0,6,0,78,0
278,-225,-152,0,0,7,0,78,0
279,-318,-194,1,0,7,0,78,0
280,-316,-194,0,0,8,0,78,0
281,-343,-248,1,0,8,0,78,0
282,-353,-248,0,0,9,0,78,0
283,-323,-283,1,0,9,0,78,0
284,-282,-283,0,0,10,0,78,0
285,-217,-286,1,0,10,0,78,0
286,-199,-286,0,0,11,0,78,0
287,-150,-258,1,0,11,0,78,0
288,-80,-258,0,0,12,0,78,0
